SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert
"BK";"0A";"Ohne Abschluss";1;9;"**";"1";
"SB";"0A";"Ohne Abschluss";1;9;"**";"1";
"BK";"0A";"Ohne Abschluss";5;1;"**";"1";
"SB";"0A";"Ohne Abschluss";5;1;"**";"1";
"BK";"0A";"Ohne Abschluss";6;1;"**";"1";
"SB";"0A";"Ohne Abschluss";6;1;"**";"1";
"BK";"0A";"Ohne Abschluss";7;9;"**";"1";
"SB";"0A";"Ohne Abschluss";7;9;"**";"1";
"BK";"0A";"Ohne Abschluss";8;9;"**";"1";
"BK";"0A";"Ohne Abschluss";9;9;"**";"1";
"SB";"0A";"Ohne Abschluss";9;9;"**";"1";
"BK";"0A";"Ohne Abschluss";12;4;"**";"1";
"SB";"0A";"Ohne Abschluss";12;4;"**";"1";
"BK";"0A";"Ohne Abschluss";13;4;"**";"1";
"BK";"0A";"Ohne Abschluss";14;1;"**";"1";
"SB";"0A";"Ohne Abschluss";14;1;"**";"1";
"BK";"0A";"Ohne Abschluss";15;1;"**";"1";
"SB";"0A";"Ohne Abschluss";15;1;"**";"1";
"BK";"0A";"Ohne Abschluss";16;7;"**";"1";
"SB";"0A";"Ohne Abschluss";16;7;"**";"1";
"BK";"0A";"Ohne Abschluss";17;8;"**";"1";
"SB";"0A";"Ohne Abschluss";17;8;"**";"1";
"BK";"0A";"Ohne Abschluss";18;9;"**";"1";
"SB";"0A";"Ohne Abschluss";18;9;"**";"1";
"BK";"0A";"Ohne Abschluss";19;9;"**";"1";
"SB";"0A";"Ohne Abschluss";19;9;"**";"1";
"BK";"0A";"Ohne Abschluss";20;7;"**";"1";
"SB";"0A";"Ohne Abschluss";20;7;"**";"1";
"BK";"0A";"Ohne Abschluss";21;7;"**";"1";
"SB";"0A";"Ohne Abschluss";21;7;"**";"1";
"BK";"0A";"Ohne Abschluss";22;1;"**";"1";
"SB";"0A";"Ohne Abschluss";22;1;"**";"1";
"BK";"0A";"Ohne Abschluss";23;1;"**";"1";
"SB";"0A";"Ohne Abschluss";23;1;"**";"1";
"BK";"0A";"Ohne Abschluss";24;7;"**";"1";
"SB";"0A";"Ohne Abschluss";24;7;"**";"1";
"BK";"0A";"Ohne Abschluss";25;1;"**";"1";
"SB";"0A";"Ohne Abschluss";25;1;"**";"1";
"BK";"0A";"Ohne Abschluss";26;8;"**";"1";
"SB";"0A";"Ohne Abschluss";26;8;"**";"1";
"BK";"0A";"Ohne Abschluss";27;9;"**";"1";
"SB";"0A";"Ohne Abschluss";27;9;"**";"1";
"BK";"0A";"Ohne Abschluss";28;8;"**";"1";
"SB";"0A";"Ohne Abschluss";28;8;"**";"1";
"BK";"0A";"Ohne Abschluss";29;1;"**";"1";
"SB";"0A";"Ohne Abschluss";29;1;"**";"1";
"BK";"0A";"Ohne Abschluss";30;7;"**";"1";
"SB";"0A";"Ohne Abschluss";30;7;"**";"1";
"BK";"0A";"Ohne Abschluss";31;7;"**";"1";
"BK";"0A";"Ohne Abschluss";32;9;"**";"1";
"SB";"0A";"Ohne Abschluss";32;9;"**";"1";
"BK";"0A";"Ohne Abschluss";33;1;"**";"1";
"BK";"0A";"Ohne Abschluss";34;7;"**";"1";
"BK";"0A";"Ohne Abschluss";35;8;"**";"1";
"BK";"0A";"Ohne Abschluss";36;11;"**";"1";
"BK";"0A";"Ohne Abschluss";37;8;"**";"1";
"BK";"0A";"ohne Abschluss einschließlich Maßnahmen nach § 37 SchpflG";38;8;"**";"1";
"SB";"0A";"ohne Abschluss einschließlich Maßnahmen nach § 37 SchpflG";38;8;"**";"1";
"BK";"0D";"Hauptschulabschluss nach Klasse 10";7;13;"**";"1";
"SB";"0D";"Hauptschulabschluss nach Klasse 10";7;13;"**";"1";
"BK";"0D";"Hauptschulabschluss nach Klasse 10";8;13;"**";"1";
"BK";"0D";"Hauptschulabschluss nach Klasse 10";9;13;"**";"1";
"SB";"0D";"Hauptschulabschluss nach Klasse 10";9;13;"**";"1";
"BK";"0D";"Hauptschulabschluss nach Klasse 10";12;4;"**";"1";
"SB";"0D";"Hauptschulabschluss nach Klasse 10";12;4;"**";"1";
"BK";"0D";"Hauptschulabschluss nach Klasse 10";13;4;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";15;1;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";15;1;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";16;2;"**";"1";
"SB";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";16;2;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";17;3;"**";"1";
"SB";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";17;3;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";18;4;"**";"1";
"SB";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";18;4;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";19;9;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";19;9;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";21;7;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";21;7;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";22;1;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";22;1;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";27;9;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";27;9;"**";"1";
"BK";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";28;8;"**";"1";
"SB";"0D";"Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";28;8;"**";"1";
"BK";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler)";38;8;"**";"1";
"SB";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler)";38;8;"**";"1";
"SB";"0D";"ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler)";38;8;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";7;13;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";7;13;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";8;13;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";9;13;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";9;13;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";12;4;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";12;4;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";13;4;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohneBerechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"BK";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"SB";"0F";"Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";7;13;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";7;13;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";12;4;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";12;4;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";19;9;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";19;9;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";21;7;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";21;7;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";27;9;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";27;9;"**";"1";
"BK";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";28;8;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";28;8;"**";"1";
